year,life expectancy,,,,,,,,,,,
1900,48,,,,,,,,,,,
1901,51,,,,,,,,,,,
1902,53,,,,,,,,,,,
1903,52,,,,,,,,,,,
1904,49,,,,,,,,,,,
1905,50,,,,,,,,,,,
1906,51,,,,,,,,,,,
1907,50,,,,,,,,,,,
1908,53,,,,,,,,,,,
1909,54,,,,,,,,,,,
1910,52,,,,,,,,,,,
1911,54,,,,,,,,,,,
1912,56,,,,,,,,,,,
1913,55,,,,,,,,,,,
1914,57,,,,,,,,,,,
1915,57,,,,,,,,,,,
1916,54,,,,,,,,,,,
1917,54,,,,,,,,,,,
1918,42,,,,,,,,,,,
1919,56,,,,,,,,,,,
1920,55,,,,,,,,,,,
1921,62,,,,,,,,,,,
1922,61,,,,,,,,,,,
1923,59,,,,,,,,,,,
1924,62,,,,,,,,,,,
1925,61,,,,,,,,,,,
1926,58,,,,,,,,,,,
1927,62,,,,,,,,,,,
1928,58,,,,,,,,,,,
1929,59,,,,,,,,,,,
1930,62,,,,,,,,,,,
1931,63,,,,,,,,,,,
1932,64,,,,,,,,,,,
1933,65,,,,,,,,,,,
1934,63,,,,,,,,,,,
1935,64,,,,,,,,,,,
1936,61,,,,,,,,,,,
1937,62,,,,,,,,,,,
1938,65,,,,,,,,,,,
1939,65,,,,,,,,,,,
1940,65,,,,,,,,,,,
1941,67,,,,,,,,,,,
1942,68,,,,,,,,,,,
1943,64,,,,,,,,,,,
1944,67,,,,,,,,,,,
1945,68,,,,,,,,,,,
1946,69,,,,,,,,,,,
1947,70,,,,,,,,,,,
1948,70,,,,,,,,,,,
1949,71,,,,,,,,,,,
1950,71,,,,,,,,,,,
1951,71,,,,,,,,,,,
1952,72,,,,,,,,,,,
1953,72,,,,,,,,,,,
1954,73,,,,,,,,,,,
1955,73,,,,,,,,,,,
1956,73,,,,,,,,,,,
1957,73,,,,,,,,,,,
1958,73,,,,,,,,,,,
1959,73,,,,,,,,,,,
1960,73,,,,,,,,,,,
1961,74,,,,,,,,,,,
1962,74,,,,,,,,,,,
1963,73,,,,,,,,,,,
1964,74,,,,,,,,,,,
1965,74,,,,,,,,,,,
1966,74,,,,,,,,,,,
1967,74,,,,,,,,,,,
1968,74,,,,,,,,,,,
1969,74,,,,,,,,,,,
1970,75,,,,,,,,,,,
1971,75,,,,,,,,,,,
1972,75,,,,,,,,,,,
1973,75,,,,,,,,,,,
1974,76,,,,,,,,,,,
1975,77,,,,,,,,,,,
1976,77,,,,,,,,,,,
1977,77,,,,,,,,,,,
1978,77,,,,,,,,,,,
1979,78,,,,,,,,,,,
1980,77,,,,,,,,,,,
1981,78,,,,,,,,,,,
1982,78,,,,,,,,,,,
1983,78,,,,,,,,,,,
1984,78,,,,,,,,,,,
1985,78,,,,,,,,,,,
1986,78,,,,,,,,,,,
1987,78,,,,,,,,,,,
1988,78,,,,,,,,,,,
1989,79,,,,,,,,,,,
1990,79,,,,,,,,,,,
1991,79,,,,,,,,,,,
1992,79,,,,,,,,,,,
1993,79,,,,,,,,,,,
1994,79,,,,,,,,,,,
1995,79,,,,,,,,,,,
1996,79,,,,,,,,,,,
1997,79,,,,,,,,,,,
1998,80,,,,,,,,,,,
1999,79,,,,,,,,,,,
2000,79,,,,,,,,,,,
2001,80,,,,,,,,,,,
2002,80,,,,,,,,,,,
2003,80,,,,,,,,,,,
2004,80,,,,,,,,,,,
2005,80,,,,,,,,,,,
2006,80,,,,,,,,,,,
2007,81,,,,,,,,,,,
2008,81,,,,,,,,,,,
2009,81,,,,,,,,,,,
2010,81,,,,,,,,,,,
2011,81,,,,,,,,,,,
2012,81,,,,,,,,,,,
2013,81,,,,,,,,,,,
2014,81,,,,,,,,,,,
2015,81,,,,,,,,,,,
2016,81,,,,,,,,,,,
2017,81,,,,,,,,,,,
2018,81,,,,,,,,,,,
2019,81,,,,,,,,,,,
2020,80,,,,,,,,,,,
2021,79,,,,,,,,,,,
2022,,,,,,,,,,,,