year,life expectancy
1900,46
1901,48
1902,50
1903,49
1904,46
1905,47
1906,47
1907,46
1908,50
1909,51
1910,48
1911,51
1912,52
1913,50
1914,52
1915,53
1916,50
1917,48
1918,37
1919,54
1920,54
1921,60
1922,58
1923,56
1924,58
1925,58
1926,56
1927,59
1928,56
1929,56
1930,58
1931,59
1932,61
1933,62
1934,59
1935,60
1936,57
1937,58
1938,62
1939,62
1940,61
1941,63
1942,65
1943,62
1944,64
1945,64
1946,64
1947,64
1948,65
1949,65
1950,66
1951,66
1952,66
1953,66
1954,67
1955,67
1956,67
1957,66
1958,67
1959,67
1960,67
1961,67
1962,67
1963,67
1964,67
1965,67
1966,67
1967,67
1968,66
1969,67
1970,67
1971,67
1972,67
1973,68
1974,68
1975,69
1976,69
1977,70
1978,70
1979,70
1980,70
1981,70
1982,71
1983,71
1984,71
1985,71
1986,71
1987,71
1988,71
1989,72
1990,72
1991,72
1992,72
1993,72
1994,72
1995,73
1996,73
1997,74
1998,74
1999,74
2000,74
2001,74
2002,74
2003,75
2004,75
2005,75
2006,75
2007,76
2008,76
2009,76
2010,76
2011,76
2012,76
2013,76
2014,77
2015,76
2016,76
2017,76
2018,76
2019,76
2020,74
2021,74
2022,